Contest	Problem	Count	Difficulty	URI
585	C	77	2372	http://codeforces.com/problemset/problem/585/C/
453	C	141	2373	http://codeforces.com/problemset/problem/453/C/
594	B	34	2373	http://codeforces.com/problemset/problem/594/B/
341	E	1	2376	http://codeforces.com/problemset/problem/341/E/
455	D	20	2377	http://codeforces.com/problemset/problem/455/D/
329	C	54	2377	http://codeforces.com/problemset/problem/329/C/
429	C	75	2379	http://codeforces.com/problemset/problem/429/C/
329	D	37	2379	http://codeforces.com/problemset/problem/329/D/
213	D	40	2379	http://codeforces.com/problemset/problem/213/D/
145	E	37	2380	http://codeforces.com/problemset/problem/145/E/
480	D	25	2383	http://codeforces.com/problemset/problem/480/D/
605	C	106	2383	http://codeforces.com/problemset/problem/605/C/
191	E	55	2386	http://codeforces.com/problemset/problem/191/E/
484	D	82	2386	http://codeforces.com/problemset/problem/484/D/
679	C	127	2390	http://codeforces.com/problemset/problem/679/C/
167	C	75	2392	http://codeforces.com/problemset/problem/167/C/
553	D	131	2399	http://codeforces.com/problemset/problem/553/D/
201	D	11	2404	http://codeforces.com/problemset/problem/201/D/
512	C	143	2404	http://codeforces.com/problemset/problem/512/C/
506	D	113	2404	http://codeforces.com/problemset/problem/506/D/
154	D	46	2405	http://codeforces.com/problemset/problem/154/D/
498	B	76	2406	http://codeforces.com/problemset/problem/498/B/
414	D	107	2406	http://codeforces.com/problemset/problem/414/D/
295	E	35	2407	http://codeforces.com/problemset/problem/295/E/
311	E	2	2407	http://codeforces.com/problemset/problem/311/E/
314	E	4	2407	http://codeforces.com/problemset/problem/314/E/
449	D	80	2408	http://codeforces.com/problemset/problem/449/D/
601	C	154	2411	http://codeforces.com/problemset/problem/601/C/
364	E	1	2412	http://codeforces.com/problemset/problem/364/E/
288	D	49	2412	http://codeforces.com/problemset/problem/288/D/
444	D	39	2415	http://codeforces.com/problemset/problem/444/D/
283	D	30	2416	http://codeforces.com/problemset/problem/283/D/
468	C	56	2417	http://codeforces.com/problemset/problem/468/C/
229	E	12	2417	http://codeforces.com/problemset/problem/229/E/
311	D	18	2419	http://codeforces.com/problemset/problem/311/D/
249	C	9	2420	http://codeforces.com/problemset/problem/249/C/
425	C	105	2421	http://codeforces.com/problemset/problem/425/C/
258	E	38	2421	http://codeforces.com/problemset/problem/258/E/
311	C	9	2422	http://codeforces.com/problemset/problem/311/C/
226	C	22	2423	http://codeforces.com/problemset/problem/226/C/
256	E	38	2424	http://codeforces.com/problemset/problem/256/E/
341	D	30	2426	http://codeforces.com/problemset/problem/341/D/
333	E	31	2430	http://codeforces.com/problemset/problem/333/E/
403	D	77	2431	http://codeforces.com/problemset/problem/403/D/
317	C	30	2433	http://codeforces.com/problemset/problem/317/C/
351	C	33	2433	http://codeforces.com/problemset/problem/351/C/
446	C	64	2434	http://codeforces.com/problemset/problem/446/C/
348	C	23	2436	http://codeforces.com/problemset/problem/348/C/
698	C	97	2437	http://codeforces.com/problemset/problem/698/C/
191	D	6	2439	http://codeforces.com/problemset/problem/191/D/
193	C	43	2441	http://codeforces.com/problemset/problem/193/C/
613	C	78	2442	http://codeforces.com/problemset/problem/613/C/
536	C	30	2447	http://codeforces.com/problemset/problem/536/C/
314	D	31	2449	http://codeforces.com/problemset/problem/314/D/
582	C	101	2449	http://codeforces.com/problemset/problem/582/C/
354	B	37	2452	http://codeforces.com/problemset/problem/354/B/
403	E	2	2453	http://codeforces.com/problemset/problem/403/E/
277	C	48	2454	http://codeforces.com/problemset/problem/277/C/
217	C	12	2456	http://codeforces.com/problemset/problem/217/C/
605	D	76	2456	http://codeforces.com/problemset/problem/605/D/
594	D	50	2456	http://codeforces.com/problemset/problem/594/D/
220	E	37	2457	http://codeforces.com/problemset/problem/220/E/
360	C	34	2459	http://codeforces.com/problemset/problem/360/C/
375	D	47	2459	http://codeforces.com/problemset/problem/375/D/
333	C	13	2459	http://codeforces.com/problemset/problem/333/C/
274	C	11	2460	http://codeforces.com/problemset/problem/274/C/
700	C	46	2463	http://codeforces.com/problemset/problem/700/C/
446	D	6	2465	http://codeforces.com/problemset/problem/446/D/
243	C	57	2465	http://codeforces.com/problemset/problem/243/C/
590	D	106	2467	http://codeforces.com/problemset/problem/590/D/
321	E	13	2468	http://codeforces.com/problemset/problem/321/E/
375	C	26	2471	http://codeforces.com/problemset/problem/375/C/
142	D	19	2474	http://codeforces.com/problemset/problem/142/D/
442	C	46	2476	http://codeforces.com/problemset/problem/442/C/
295	D	45	2477	http://codeforces.com/problemset/problem/295/D/
201	E	12	2479	http://codeforces.com/problemset/problem/201/E/
696	D	88	2482	http://codeforces.com/problemset/problem/696/D/
528	C	59	2482	http://codeforces.com/problemset/problem/528/C/
264	D	22	2483	http://codeforces.com/problemset/problem/264/D/
568	D	13	2483	http://codeforces.com/problemset/problem/568/D/
555	D	81	2484	http://codeforces.com/problemset/problem/555/D/
484	E	19	2487	http://codeforces.com/problemset/problem/484/E/
573	E	2	2488	http://codeforces.com/problemset/problem/573/E/
607	C	67	2488	http://codeforces.com/problemset/problem/607/C/
217	E	2	2494	http://codeforces.com/problemset/problem/217/E/
204	D	29	2496	http://codeforces.com/problemset/problem/204/D/
543	C	61	2496	http://codeforces.com/problemset/problem/543/C/
351	D	10	2502	http://codeforces.com/problemset/problem/351/D/
494	D	20	2503	http://codeforces.com/problemset/problem/494/D/
407	D	11	2506	http://codeforces.com/problemset/problem/407/D/
687	D	71	2510	http://codeforces.com/problemset/problem/687/D/
571	C	64	2512	http://codeforces.com/problemset/problem/571/C/
498	D	84	2513	http://codeforces.com/problemset/problem/498/D/
547	D	30	2514	http://codeforces.com/problemset/problem/547/D/
434	C	22	2514	http://codeforces.com/problemset/problem/434/C/
303	C	36	2515	http://codeforces.com/problemset/problem/303/C/
303	D	13	2518	http://codeforces.com/problemset/problem/303/D/
601	D	80	2519	http://codeforces.com/problemset/problem/601/D/
187	D	6	2522	http://codeforces.com/problemset/problem/187/D/
380	D	43	2524	http://codeforces.com/problemset/problem/380/D/
364	D	3	2524	http://codeforces.com/problemset/problem/364/D/
587	F	3	2525	http://codeforces.com/problemset/problem/587/F/
449	E	4	2528	http://codeforces.com/problemset/problem/449/E/
286	D	13	2529	http://codeforces.com/problemset/problem/286/D/
377	D	49	2530	http://codeforces.com/problemset/problem/377/D/
666	C	53	2531	http://codeforces.com/problemset/problem/666/C/
438	C	43	2533	http://codeforces.com/problemset/problem/438/C/
360	D	13	2533	http://codeforces.com/problemset/problem/360/D/
346	D	26	2538	http://codeforces.com/problemset/problem/346/D/
198	E	23	2538	http://codeforces.com/problemset/problem/198/E/
383	E	19	2540	http://codeforces.com/problemset/problem/383/E/
464	E	1	2541	http://codeforces.com/problemset/problem/464/E/
360	E	3	2543	http://codeforces.com/problemset/problem/360/E/
